name,link
W004899065,https://www.wayfair.com/furniture/pdp/wade-logan-hoboken-38-w-tufted-polyester-armchair-w004899065.html
W003346076,https://www.wayfair.com/furniture/pdp/union-rustic-richview-225-wide-tufted-side-chair-w003346076.html?categoryid=416225&placement=1&slot=0&sponsoredid=252d51b5bb1f16f10c30bd52e3cff736c920a3be7c606c649612dd8fc5f0ad7f&_txid=I%2FcmXGEsWAUmOihl1IlfAg%3D%3D&isB2b=0&auctionId=63f2ec73-f388-4d29-8095-01b05b15e8fb
W003046596,https://www.wayfair.com/furniture/pdp/latitude-run-jazouli-255-wide-linen-barrel-chair-and-ottoman-w003046596.html
W005404819,https://www.wayfair.com/furniture/pdp/mercer41-daulton-20-wide-velvet-side-chair-w005404819.html
W001362479,https://www.wayfair.com/furniture/pdp/gold-flamingo-lisette-26-wide-tufted-velvet-side-chair-w001362479.html
W005405090,https://www.wayfair.com/furniture/pdp/corrigan-studio-bolen-3031-wide-convertible-chair-w005405090.html
W004355069,https://www.wayfair.com/furniture/pdp/winston-porter-ensa-29-wide-barrel-chair-w004355069.html
W002156946,https://www.wayfair.com/furniture/pdp/mercer41-indianola-30-w-polyester-barrel-chair-w002156946.html?categoryid=416225&placement=1&slot=1&sponsoredid=bd3e95ae87da49fdc4ed2e113091739745a0b875ba65a1ab21d66ff69558908f&_txid=I%2FcmXGEsWAUmOihl1IlfAg%3D%3D&isB2b=0&auctionId=63f2ec73-f388-4d29-8095-01b05b15e8fb
W005759738,https://www.wayfair.com/furniture/pdp/george-oliver-hofstetter-285-w-polyester-armchair-w005759738.html
W001373512,https://www.wayfair.com/furniture/pdp/three-posts-leominster-7112cm-wide-polyester-swivel-barrel-chair-w001373512.html
W003083506,https://www.wayfair.com/furniture/pdp/everly-quinn-esmund-20-wide-tufted-velvet-side-chair-w003083506.html
W004236674,https://www.wayfair.com/furniture/pdp/george-oliver-struble-25-wide-armchair-and-ottoman-w004236674.html
W004281500,https://www.wayfair.com/furniture/pdp/hashtag-home-juliana-29-wide-tufted-linen-club-chair-w004281500.html
